Industry,Gender,Highest_Level_Of_Education_Completed,Average_Salary
Academia,Man,Phd,58656.00
Academia,Woman,"College Degree",32000.00
Academia,Woman,"Master'S Degree",55185.70
Academia,Woman,Phd,30785.00
"Academic Medicine",Man,"College Degree",55000.00
"Academic Publishing",Woman,"College Degree",64250.00
"Academic Publishing",Woman,"Master'S Degree",43593.75
"Academic Publishing",Woman,Phd,40800.00
"Academic Research",Man,"College Degree",63500.00
"Academic Research",Man,Phd,80000.00
"Academic Research","Other or prefer not to answer",Phd,50402.50
"Academic Research",Woman,"College Degree",36641.00
"Academic Research",Woman,"Master'S Degree",41141.33
"Academic Research",Woman,Phd,57000.00
Accessibility,"Other or prefer not to answer","Master'S Degree",4000.00
Accessibility,Woman,"College Degree",74000.00
"Accounting, Banking & Finance",Man,"College Degree",97494.90
"Accounting, Banking & Finance",Man,"High School",97545.80
"Accounting, Banking & Finance",Man,"Master'S Degree",120490.50
"Accounting, Banking & Finance",Man,Phd,205666.67
"Accounting, Banking & Finance",Man,"Professional Degree (Md, Jd, Etc.)",124725.91
"Accounting, Banking & Finance",Man,"Some College",69192.74
"Accounting, Banking & Finance",Man,Unknown,60000.00
"Accounting, Banking & Finance","Other or prefer not to answer","College Degree",71388.98
"Accounting, Banking & Finance","Other or prefer not to answer","High School",46250.00
"Accounting, Banking & Finance","Other or prefer not to answer","Master'S Degree",94803.06
"Accounting, Banking & Finance","Other or prefer not to answer","Professional Degree (Md, Jd, Etc.)",96852.00
"Accounting, Banking & Finance","Other or prefer not to answer","Some College",57083.33
"Accounting, Banking & Finance","Other or prefer not to answer",Unknown,119824.24
"Accounting, Banking & Finance",Woman,"College Degree",78605.72
"Accounting, Banking & Finance",Woman,"High School",55334.30
"Accounting, Banking & Finance",Woman,"Master'S Degree",97624.36
"Accounting, Banking & Finance",Woman,Phd,112596.00
"Accounting, Banking & Finance",Woman,"Professional Degree (Md, Jd, Etc.)",119529.03
"Accounting, Banking & Finance",Woman,"Some College",62057.48
"Accounting, Banking & Finance",Woman,Unknown,158818.89
Actuarial,Woman,"College Degree",42640.00
Administration,Woman,"College Degree",43190.40
Administration,Woman,"Some College",48306.00
"Adult Education",Woman,"College Degree",36990.70
Aerospace,Man,"College Degree",154500.00
Aerospace,Man,"Master'S Degree",155000.00
Aerospace,Woman,"College Degree",79142.40
Aerospace,Woman,"Master'S Degree",89666.67
"Affordable Housing Real Estate Development (Nonprofit)",Woman,"Master'S Degree",144200.00
"Agriculture Or Forestry",Man,"College Degree",76462.51
"Agriculture Or Forestry",Man,"High School",97860.00
"Agriculture Or Forestry",Man,Phd,91000.00
"Agriculture Or Forestry",Man,"Some College",41806.50
"Agriculture Or Forestry","Other or prefer not to answer","College Degree",58658.99
"Agriculture Or Forestry","Other or prefer not to answer","Master'S Degree",41000.00
"Agriculture Or Forestry","Other or prefer not to answer",Phd,294000.00
"Agriculture Or Forestry","Other or prefer not to answer","Some College",309313.45
"Agriculture Or Forestry",Woman,"College Degree",64653.52
"Agriculture Or Forestry",Woman,"High School",48434.70
"Agriculture Or Forestry",Woman,"Master'S Degree",73528.28
"Agriculture Or Forestry",Woman,Phd,94825.00
"Agriculture Or Forestry",Woman,"Some College",45688.13
Airline,Woman,"College Degree",80000.00
Americorps,Woman,"Master'S Degree",15400.00
"Analytical Chemistry",Woman,"College Degree",56000.00
"Analytical Lab",Woman,"College Degree",30368.00
Analytics,Woman,"Master'S Degree",162000.00
Animal,Woman,"College Degree",70232.83
Animal,Woman,"Some College",72800.00
Animation,Woman,"College Degree",55221.00
Apparel,Woman,"College Degree",69000.00
Apparel,Woman,"Master'S Degree",95500.00
Archaeology,Man,"College Degree",60000.00
Archaeology,"Other or prefer not to answer","Master'S Degree",110000.00
Archaeology,Woman,"Master'S Degree",67000.00
