Country,Job_Title,Annual_Salary_USD
" New Zealand","Personal Assistant/Office Manager",49020.00
Afghanistan,"Country Director",51250.00
Argentina,"Full Stack Developer",114000.00
Australia,"Environmental Consultant",462090.00
"Australia ","It Security Consultant ",632000.00
Austria,"Devops Lead",124800.00
Bahamas,"Manager Of Corporate Services",66000.00
Bangladesh,Diplomat,70000.00
"Bangladesh ","Program Specialist ",7013.50
Belgium,Compliance,187200.00
"Belgium ",Manager,88400.00
Bermuda,"Office Manager And Executive Assistant",132500.00
"Bosnia and Herzegovina","Marketing Automation Analyst",6760.00
Brazil,"Software Engineer ",140000.00
"Brazil ","Front End Engineer ",17.70
"Britain ","Procurement Manager",50000.00
Bulgaria,"Sap Consultant",57200.00
Burma,It,1700.00
"California ","Plant Manager ",78000.00
Cambodia,"Volunteer And Partnerships Program Manager",24000.00
Canada,"Learning Specialist",671040.00
"Canada ","Software Engineer",115000.00
Catalonia,"Financial Manager",62400.00
"Cayman Islands","Senior Analyst",81000.00
Chile,"Customer Project Officer",38000.00
China,"Senior Manager",218000.00
Colombia,"Operations Manager",102000000.00
Congo,"Program Manager",91980.00
"Costa Rica","Value Stream Manager",78000.00
"Cote d'Ivoire","Hr And Operations Manager",67500.00
"Croatia ",Director,37440.00
Cuba,"Frontend Engineer",9600.00
Cyprus,"Senior Management Consultant",22308.00
Czech,Recruiter,43680.00
"Czech Republic","Principal Software Engineer",52000.00
Denmark,"Vice Principal",640000.00
"Denmark ","Space Plan Consultant",107835.00
Ecuador,"Petroleum Engineer",84000.00
England,Partner,625000.00
Eritrea,"Foreign Service Officer",98000.00
Estonia,"Email Marketing And Sms Specialist",29078.40
Finland,"Performance Marketing Lead ",67600.00
France,"Principal Developer",364000.00
"France ","Project Manager",60320.00
Germany,"Cyber Security Management",1560000.00
"Germany ","Strategic Assistant",130000.00
Ghana,"Chief Operating Officer",132000.00
Global,Consultant,129315.00
"Great Britain ","Laboratory Technician",36250.00
Greece,"Justice Minister Employee",46800.00
Hartford,"Staff Development Specialist",91000.00
"Hong Kong","Video Editor",47370.00
"Hong Kong ","Senior Manager, Communications ",102028.00
Hungary,"It Advisor, Manager",72010.60
India,"Sr. Research Associate",1095000.00
"International ","Clinical Applications Specialist ",108000.00
Ireland,"Site Reliability Engineer",187200.00
"Ireland ","Senior Program Manager ",110240.00
"Isle of Man","Senior Software Developer ",107500.00
Israel,"Software Engineer",240000.00
Italy,"Tech Lead",148000.00
Jamaica,"It Team Lead",45000.00
Japan,Associate,300000.00
"Jersey, Channel islands","Executive Assistant",38750.00
Jordan,"Business Consultant",34000.00
Kenya,"Director Of Business Development",60000.00
Kuwait,"Instructional Coach ",13560.00
Latvia,"Vice President",52000.00
Liechtenstein,"Program Manager",166440.00
Lithuania,"Lead Software Engineer",74880.00
London,"Site Activation Manager",87500.00
Loutreland,Dba,1000.00
Luxembourg,"Technical Program Manager",124800.00
"Mainland China",Teacher,16800.00
Malaysia,"Data Analyst",97000.00
"Malaysia ",Qc,5265.00
Malta,"Software Architect ",43680.00
Mexico,"Customer Success Manager",93000.00
"Mexico ","Foreign Service Officer ",128000.00
Morocco,"Production Engineer",28000.00
Myanmar,"Risk Management Associate",1200.00
Netherlands,"Software Architect ",156000.00
Netherlands,"Developer ",156000.00
Netherlands,"Director Of Engineering ",156000.00
"Netherlands ","Solutions Engineer",118560.00
"New Zealand","Principal Engineer",175000.00
"New Zealand ","General Manager",125400.00
Nigeria,Cto,250000.00
"Nigeria ","Clinical Physiologist ",720.00
"Northern Ireland","Marketing Executive",43750.00
Norway,"Senior Advisor",572000.00
"Norway ",Purchaser,861250.00
Pakistan,"Foreign Service Officer",102824.00
Panama,"Qa Coordinator",27600.00
Philippines,"Publishing Specialist",156000.00
Poland,"Lead Software Engineer ",155000.00
"Poland ","Executive Assistant ",27000.00
Policy,"Team Lead",78288.00
Portugal,"Staff Software Engineer",109200.00
"Portugal ",Contractor,93925.00
Qatar,"Field Engineer",68000.00
Remote,"Senior Analyst",85000.00
Romania,"Principal Product Designer",106250.00
"Russia ","Assistant ",15000.00
Rwanda,"Senior Associate Geotechnical Engineer",65000.00
"San Francisco","User Operations Senior Associate",48000.00
"Saudi Arabia","Principal Engineer",107045.00
Scotland,"Director Of Engineering",118750.00
Serbia,"Senior Technical Sales Consultant",24336.00
"Sierra Leone","Country Director",97000.00
Singapore,"Product Manager",2111538.00
"Singapore ","Senior Manager ",101250.00
Slovakia,"Web Developer",145600.00
Slovenia," Foreman",20800.00
Somalia,"Program Manager",58000.00
"South Africa ",Cto,150000.00
"South Korea","Legal Editor",30660.00
"South Korea ","Native English Teacher",22717.00
Spain,Vp,222560.00
"Spain ","Senior Principal System Analyst",57200.00
"Sri lanka",Director,160000.00
Sweden,"Customer Service Specialist",207000.00
"Sweden ","Brand Innovation Manager",70200.00
Switzerland,Director,250000.00
"Switzerland ","Head Of Platform",164250.00
Taiwan,"Content Creator",2000000.00
Tanzania,Pharmacist,9360.00
Thailand,"Senior Project Manager",52000.00
"Trinidad and Tobago","Associate Attorney",9360.00
Turkey,"Computer Scientist",280.00
U.K,Consultant,1187500.00
"U.K ","Executive Director ",312500.00
U.S.A,"Japanese To English Translator",3600000.00
UAE,"Proposals & Marketing Manager",98000.00
Uganda,Director,100000.00
"Ukraine ","Senior Illustrator ",12000.00
Unknown,"Software Engineer",61401.60
Uruguay,"Engineering Manager ",84000.00
Vietnam,"Head Of School",210000.00
Virginia,Attorney,94500.00
Wales,"Engineering Manager",96250.00
Zimbabwe,Chef,50000.00
