Job_Title,Years_of_Professional_Experience_Overall,Total_Compensation
"Operations Manager","8 - 10 years",103097970.00
"Senior Software Engineer","11 - 20 years",18184834.90
Director,"11 - 20 years",15547152.40
"Software Engineer","5-7 years",15239772.70
"Software Engineer","11 - 20 years",12661730.00
"Software Engineer","2 - 4 years",12383532.00
"Software Engineer","8 - 10 years",12087120.80
"Product Manager","11 - 20 years",9368712.00
"Project Manager","11 - 20 years",8297021.10
Partner,"11 - 20 years",8129950.00
"Senior Software Engineer","8 - 10 years",8117743.00
"Engineering Manager","11 - 20 years",7980336.00
"Program Manager","11 - 20 years",6923108.70
Director,"21 - 30 years",6499329.00
"Staff Software Engineer","11 - 20 years",5851181.00
Partner,"21 - 30 years",5763500.00
"Project Manager","8 - 10 years",5620437.70
Manager,"11 - 20 years",5575439.20
"Managing Director","11 - 20 years",5549590.00
"Vice President","11 - 20 years",5460074.00
Associate,"5-7 years",5423384.40
"Senior Software Engineer","5-7 years",5284696.00
"Engineering Manager","21 - 30 years",5221423.00
"Senior Manager","11 - 20 years",5098257.00
Attorney,"11 - 20 years",4849544.00
"Senior Software Engineer","21 - 30 years",4497807.50
"Product Manager","8 - 10 years",4422209.00
"Program Manager","8 - 10 years",4402002.00
"Director Of Engineering","11 - 20 years",4323460.00
Librarian,"11 - 20 years",4297027.80
"Software Developer","11 - 20 years",4091518.40
"Marketing Manager","8 - 10 years",3989056.00
"Senior Director","11 - 20 years",3824000.00
"Project Manager","5-7 years",3815271.30
Director,"8 - 10 years",3757335.00
Associate,"8 - 10 years",3722627.00
Teacher,"11 - 20 years",3707400.50
"Executive Director","11 - 20 years",3655631.00
"Japanese To English Translator","8 - 10 years",3600000.00
Attorney,"8 - 10 years",3547500.00
Associate,"2 - 4 years",3429213.40
"Project Manager","21 - 30 years",3423567.00
"Principal Engineer","11 - 20 years",3418660.00
Partner,"8 - 10 years",3412550.00
Manager,"8 - 10 years",3405542.00
Attorney,"5-7 years",3392280.00
"Marketing Manager","11 - 20 years",3376550.40
"Product Manager","5-7 years",3368348.00
"Assistant Professor","5-7 years",3254369.30
"Data Scientist","5-7 years",3251854.00
"Operations Manager","11 - 20 years",3183816.00
Controller,"11 - 20 years",3183351.00
Counsel,"11 - 20 years",3138450.00
"Engineering Manager","8 - 10 years",3125272.50
"Software Engineering Manager","11 - 20 years",3081100.00
"Hr Manager","11 - 20 years",3038248.00
"Software Development Manager","11 - 20 years",3028497.00
"Owner And Ceo ","21 - 30 years",3000000.00
"Associate Director","11 - 20 years",2959481.00
Attorney,"21 - 30 years",2946628.00
"Principal Software Engineer","11 - 20 years",2946300.00
"Marketing Director","11 - 20 years",2925482.00
"Data Scientist","11 - 20 years",2814645.00
"Executive Assistant","11 - 20 years",2813075.10
"Senior Project Manager","11 - 20 years",2793820.00
"Director Of Engineering","21 - 30 years",2785885.00
"Senior Manager","8 - 10 years",2764500.00
"Associate Attorney","11 - 20 years",2741500.00
"Chief Of Staff","11 - 20 years",2710463.00
"Associate Attorney","5-7 years",2687490.00
"Senior Director","21 - 30 years",2680000.00
"Principal Software Engineer","8 - 10 years",2643150.00
"Senior Software Engineer","2 - 4 years",2642100.00
Consultant,"8 - 10 years",2606752.50
Consultant,"11 - 20 years",2555620.00
"Staff Software Engineer","21 - 30 years",2537800.00
"Program Manager","5-7 years",2531996.20
"Software Developer","5-7 years",2527066.70
"Senior Manager","21 - 30 years",2510572.40
"Senior Product Manager","11 - 20 years",2500820.00
"Assistant Director","11 - 20 years",2490696.00
"Software Engineer","21 - 30 years",2465216.00
"Data Analyst","2 - 4 years",2406819.50
Analyst,"11 - 20 years",2389771.80
"Associate Professor","11 - 20 years",2367812.30
"Data Scientist","2 - 4 years",2362632.40
"Senior Software Developer","11 - 20 years",2356438.00
"Security Engineer","5-7 years",2348500.00
"Assistant Professor","11 - 20 years",2327339.00
Manager,"21 - 30 years",2320100.00
"Executive Assistant","21 - 30 years",2308042.50
"Senior Engineer","11 - 20 years",2295823.00
"Senior Researcher","11 - 20 years",2253200.00
"Data Analyst","8 - 10 years",2231461.00
"Data Analyst","5-7 years",2191993.00
"Program Manager","21 - 30 years",2191050.00
"Software Developer","2 - 4 years",2185970.50
Librarian,"5-7 years",2125710.00
"Software Engineer ","11 - 20 years",2106312.50
Director,"5-7 years",2089758.00
"Director Of Operations","11 - 20 years",2022410.00
"Accounting Manager","11 - 20 years",2005580.00
"Senior Consultant","8 - 10 years",2004438.00
"Content Creator","41 years or more",2000000.00
"Software Engineer Ii","5-7 years",1989561.00
"Engineering Manager","5-7 years",1979537.50
"Director Of Marketing","11 - 20 years",1969250.00
"Software Engineer","1 year or less",1965608.80
Editor,"11 - 20 years",1950788.00
"Senior Consultant","5-7 years",1948740.00
Librarian,"21 - 30 years",1925546.00
Manager,"5-7 years",1923667.00
"Lead Software Engineer","11 - 20 years",1918400.00
"Senior Counsel","11 - 20 years",1900500.00
"Attending Physician (General Internal Medicine)","5-7 years",1900000.00
Teacher,"21 - 30 years",1892303.00
"Office Manager","11 - 20 years",1855799.00
"Vice President","8 - 10 years",1836750.00
"Account Manager","11 - 20 years",1821002.00
"Senior Associate","8 - 10 years",1814820.00
Librarian,"8 - 10 years",1758109.00
"General Manager","11 - 20 years",1755175.50
"Executive Director","21 - 30 years",1733141.80
Professor,"21 - 30 years",1726221.00
Professor,"11 - 20 years",1708680.00
"Hr Manager","8 - 10 years",1708002.80
Paralegal,"11 - 20 years",1694359.70
"Business Analyst","8 - 10 years",1686999.00
"Hr Director","11 - 20 years",1676200.00
"Director Of Human Resources","11 - 20 years",1650700.00
"Associate Attorney","8 - 10 years",1648900.00
"Executive Director ","11 - 20 years",1636500.00
"Data Analyst","11 - 20 years",1614260.00
"Office Manager","21 - 30 years",1613525.40
"Cyber Security Management","2 - 4 years",1612000.00
"Staff Engineer","11 - 20 years",1609166.00
"Marketing Manager","5-7 years",1608727.00
"Business Analyst","11 - 20 years",1608073.00
"General Counsel","11 - 20 years",1590800.00
"Senior Consultant","11 - 20 years",1587967.50
"Staff Software Engineer ","11 - 20 years",1572000.00
"Executive Assistant","8 - 10 years",1569111.90
Teacher,"8 - 10 years",1563898.10
"Director Of Engineering ","11 - 20 years",1558200.00
"Project Manager","2 - 4 years",1549821.40
"It Manager","11 - 20 years",1546095.00
"Mechanical Engineer","5-7 years",1540820.00
"Lead Developer","11 - 20 years",1539000.00
"Registered Nurse","11 - 20 years",1520431.00
"Senior Data Scientist","5-7 years",1516514.00
"Senior Engineering Manager","11 - 20 years",1502150.00
"Principal Software Engineer","21 - 30 years",1482023.00
Analyst,"2 - 4 years",1481306.70
"Administrative Assistant","11 - 20 years",1480116.60
"Senior Analyst","5-7 years",1477695.00
