Job_Title,Total_Compensation
"Operations Manager",109101810.30
"Software Engineer",57494520.30
"Senior Software Engineer",40245301.40
Director,28880436.40
"Project Manager",23426302.50
"Product Manager",19898956.50
"Engineering Manager",19240336.00
"Program Manager",17765373.90
Partner,17511000.00
Attorney,16501502.00
Manager,15246843.20
Associate,14275497.80
"Senior Manager",11718759.40
"Software Developer",11542750.90
"Data Scientist",10672158.40
Librarian,10638392.80
"Staff Software Engineer",9920681.00
Teacher,9824748.30
"Marketing Manager",9798112.80
"Executive Assistant",9550830.10
"Data Analyst",9527570.50
Consultant,9466877.30
"Vice President",9181148.80
"Associate Attorney",8992835.00
"Director Of Engineering",8772945.00
"Assistant Professor",7821779.30
"Senior Director",7807000.00
"Principal Software Engineer",7461473.00
Analyst,7453464.50
"Hr Manager",7359289.30
"Managing Director",7299530.00
"Senior Consultant",7251338.50
"Executive Director",7220554.80
"Business Analyst",6844037.70
"Associate Director",5959090.80
"Office Manager",5930241.80
"Senior Product Manager",5895277.80
"Account Manager",5514744.40
"Senior Project Manager",5338285.00
"Software Engineer ",5306499.90
Paralegal,5233921.70
Editor,5176802.30
"Senior Associate",5033208.00
"Software Engineering Manager",5017030.00
Counsel,5005950.00
"Administrative Assistant",4990198.30
"Senior Engineer",4976498.00
"Senior Analyst",4874355.60
"Marketing Director",4825222.00
"Principal Engineer",4794758.00
"Senior Software Developer",4672286.30
"Technical Writer",4651637.90
"Security Engineer",4629897.00
"Software Development Manager",4557847.00
Controller,4555396.00
"Assistant Director",4506806.00
"Associate Professor",4451674.30
"Registered Nurse",4381320.10
"Software Engineer Ii",4335782.00
"Accounting Manager",4250519.50
"Executive Assistant ",4238275.90
Professor,4237215.00
"Senior Data Scientist",4183064.00
"Director Of Operations",4169066.00
"Senior Program Manager",4150811.80
"Chief Of Staff",4046738.00
"General Manager",3910995.50
"Customer Success Manager",3884100.00
Scientist,3840112.00
"Research Scientist",3797271.00
Rn,3788814.00
"It Manager",3687690.60
"Japanese To English Translator",3600000.00
"Senior Editor",3547045.50
Physician,3540250.00
"Senior Engineering Manager",3519970.00
"Site Reliability Engineer",3509847.50
"Lead Software Engineer",3452269.00
"Senior Financial Analyst",3438554.00
"Senior Counsel",3411800.00
"Systems Engineer",3374914.00
"Project Engineer",3311302.70
Ceo,3273878.00
"Process Engineer",3247574.00
"Senior Researcher",3232950.00
"Communications Manager",3232519.80
"Graphic Designer",3163186.00
"Hr Generalist",3101520.00
"Mechanical Engineer",3090870.00
"Program Coordinator",3028993.00
"Owner And Ceo ",3000000.00
"Hr Director",2997000.00
"Data Engineer",2954482.50
"Project Coordinator",2917824.80
"Financial Analyst",2906552.90
"Director Of Marketing",2898280.00
"Human Resources Manager",2888909.00
"Director ",2887920.00
"Executive Director ",2879450.00
"Software Architect",2864644.30
"Research Analyst",2847420.00
"Associate General Counsel",2842385.00
"Finance Manager",2789588.50
Vp,2770704.00
"Web Developer",2721008.10
"Senior Software Engineer ",2711532.00
"Program Director",2708335.00
"Staff Engineer",2648046.00
"Director Of Human Resources",2634385.00
"Product Owner",2620405.00
"Associate ",2603469.00
"Research Associate",2584402.50
Engineer,2570698.00
"Senior Developer",2534679.00
"Instructional Designer",2510260.80
Cto,2503479.00
"Attorney ",2499718.00
"Staff Accountant",2486449.00
"Account Executive",2482620.00
"Project Manager ",2477245.50
"Senior Scientist",2458397.00
"Legal Assistant",2448956.60
"Staff Attorney",2441536.00
Lawyer,2434599.50
"Development Manager",2407337.00
Accountant,2376317.00
"Senior Marketing Manager",2367075.60
"Senior Accountant",2352205.50
"Managing Editor",2348681.90
"Communications Specialist",2303313.70
"Team Lead",2266928.50
"Product Designer",2184245.00
"Devops Engineer",2175544.00
"Policy Analyst",2172427.30
"Senior Technical Writer",2166791.60
Pharmacist,2120087.00
"Content Creator",2097000.00
"Business Development Manager",2071290.50
"Assistant General Counsel",2065450.00
"Lead Developer",2050710.00
"Library Director",2047922.00
"Solutions Architect",2033247.90
"Technical Program Manager",2021608.00
"Consultant ",2009330.00
"General Counsel",1997800.00
Supervisor,1980976.00
"Senior Business Analyst",1980763.00
"Senior Vice President",1971000.00
"Senior Product Designer",1965608.00
"Director Of Communications",1964265.00
"Senior Policy Advisor",1945803.40
"Quality Engineer",1943404.00
Archivist,1942059.80
"Associate Attorney ",1940500.00
"Digital Marketing Manager",1934657.90
"Senior Software Engineering Manager",1928050.00
"Hr Business Partner",1912235.00
"Director Of Development",1908350.00
"Attending Physician (General Internal Medicine)",1900000.00
"Associate Director ",1896792.00
"It Director",1894149.00
"Communications Director",1892240.00
"It Project Manager",1887553.00
"Senior Staff Engineer",1880400.00
"Senior Ux Designer",1873500.00
"Program Analyst",1866568.90
"Engagement Manager",1850125.00
"Senior Data Analyst",1844172.00
"Principal Consultant",1822736.40
"Senior Corporate Counsel",1814500.00
"Director Of Technology",1811240.00
"Nurse Practitioner ",1774068.00
"Director Of Hr",1766669.00
Coordinator,1757683.20
"Staff Software Engineer ",1752000.00
